TimeStamp	TrackerTimeStamp	EyeIndex	Validity	Openness	PupilDiameter	PosInSensor	GazeOriginInEye	GazeDirectionNormInEye	
638134327007986513	4107830	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-31.96941, -6.80414, -17.51849)	(0.02046, 0.32530, 0.94537)	
638134327009344410	4107955	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.52702, -7.15257, -17.43015)	(0.02847, 0.29103, 0.95628)	
638134327009394406	4107972	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.51385, -7.14679, -17.42882)	(0.02608, 0.28949, 0.95682)	
638134327009454398	4107972	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.51385, -7.14679, -17.42882)	(0.02608, 0.28949, 0.95682)	
638134327009514389	4107972	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.51385, -7.14679, -17.42882)	(0.02608, 0.28949, 0.95682)	
638134327009564398	4107989	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.50713, -7.14354, -17.42137)	(0.02548, 0.28860, 0.95709)	
638134327009624381	4107989	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.50713, -7.14354, -17.42137)	(0.02548, 0.28860, 0.95709)	
638134327009674392	4107989	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.50713, -7.14354, -17.42137)	(0.02548, 0.28860, 0.95709)	
638134327009724393	4108005	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.38338, -7.16692, -17.41125)	(0.00908, 0.28339, 0.95895)	
638134327009784396	4108005	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.38338, -7.16692, -17.41125)	(0.00908, 0.28339, 0.95895)	
638134327009834425	4108005	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.38338, -7.16692, -17.41125)	(0.00908, 0.28339, 0.95895)	
638134327009894390	4108030	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.35542, -7.19798, -17.37570)	(0.01598, 0.26372, 0.96446)	
638134327009956153	4108030	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.35542, -7.19798, -17.37570)	(0.01598, 0.26372, 0.96446)	
638134327010015828	4108039	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.32915, -7.20792, -17.39525)	(0.01521, 0.27647, 0.96089)	
638134327010065834	4108039	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-32.32915, -7.20792, -17.39525)	(0.01521, 0.27647, 0.96089)	
638134327010165830	4108047	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-30.19084, -7.25705, -17.38800)	(0.02283, 0.27307, 0.96172)	
638134327010315829	4108064	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-30.61140, -7.32883, -17.39207)	(0.01700, 0.27267, 0.96194)	
638134327010465823	4108080	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-21.08229, -7.46901, -17.37317)	(0.04250, 0.27472, 0.96057)	
638134327010608602	4108097	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-7.41696, -7.59862, -17.35913)	(0.05402, 0.27969, 0.95856)	
638134327010778308	4108114	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-7.32922, -7.59921, -17.35805)	(0.05284, 0.27925, 0.95876)	
638134327010938319	4108122	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-3.15961, -7.62370, -17.34734)	(0.04597, 0.28067, 0.95869)	
638134327011093809	4108139	COMBINE	11	0.00000	0.00000	(0.00000, 0.00000)	(-1.20471, -7.63498, -17.33916)	(0.04239, 0.27599, 0.96022)	
