TimeStamp	TrackerTimeStamp	EyeIndex	Validity	Openness	PupilDiameter	PosInSensor	GazeOriginInEye	GazeDirectionNormInEye	
638134327007986513	4107830	LEFT	11111	0.00000	5.87856	(0.49498, 0.64693)	(33.61832, -5.29007, -16.45163)	(-0.29597, -0.07179, 0.95248)	
638134327009344410	4107955	LEFT	11111	1.00000	6.55580	(0.48432, 0.66730)	(32.11832, -9.50060, -13.84239)	(0.00435, 0.40173, 0.91573)	
638134327009394406	4107972	LEFT	11111	1.00000	6.22220	(0.48235, 0.66748)	(31.65706, -7.68227, -17.60669)	(0.09560, 0.27988, 0.95526)	
638134327009454398	4107972	LEFT	11111	1.00000	6.22220	(0.48235, 0.66748)	(31.65706, -7.68227, -17.60669)	(0.09560, 0.27988, 0.95526)	
638134327009514389	4107972	LEFT	11111	1.00000	6.22220	(0.48235, 0.66748)	(31.65706, -7.68227, -17.60669)	(0.09560, 0.27988, 0.95526)	
638134327009564398	4107989	LEFT	11111	1.00000	6.11058	(0.48190, 0.66889)	(31.71751, -7.63530, -17.74353)	(0.08838, 0.26944, 0.95894)	
638134327009624381	4107989	LEFT	11111	1.00000	6.11058	(0.48190, 0.66889)	(31.71751, -7.63530, -17.74353)	(0.08838, 0.26944, 0.95894)	
638134327009674392	4107989	LEFT	11111	1.00000	6.11058	(0.48190, 0.66889)	(31.71751, -7.63530, -17.74353)	(0.08838, 0.26944, 0.95894)	
638134327009724393	4108005	LEFT	11111	1.00000	6.39284	(0.47901, 0.66634)	(31.80653, -7.76701, -17.48772)	(0.08763, 0.29628, 0.95107)	
638134327009784396	4108005	LEFT	11111	1.00000	6.39284	(0.47901, 0.66634)	(31.80653, -7.76701, -17.48772)	(0.08763, 0.29628, 0.95107)	
638134327009834425	4108005	LEFT	11111	1.00000	6.39284	(0.47901, 0.66634)	(31.80653, -7.76701, -17.48772)	(0.08763, 0.29628, 0.95107)	
638134327009894390	4108030	LEFT	11111	1.00000	6.23711	(0.47824, 0.67084)	(31.85522, -7.84110, -17.37656)	(0.08423, 0.27609, 0.95741)	
638134327009956153	4108030	LEFT	11111	1.00000	6.23711	(0.47824, 0.67084)	(31.85522, -7.84110, -17.37656)	(0.08423, 0.27609, 0.95741)	
638134327010015828	4108039	LEFT	11111	1.00000	6.24689	(0.47654, 0.66999)	(31.89728, -7.84084, -17.42065)	(0.08627, 0.28325, 0.95515)	
638134327010065834	4108039	LEFT	11111	1.00000	6.24689	(0.47654, 0.66999)	(31.89728, -7.84084, -17.42065)	(0.08627, 0.28325, 0.95515)	
638134327010165830	4108047	LEFT	11111	1.00000	6.19461	(0.47919, 0.66973)	(31.92683, -7.87305, -17.38223)	(0.06723, 0.28703, 0.95555)	
638134327010315829	4108064	LEFT	11111	0.89418	6.13721	(0.47919, 0.67060)	(31.91499, -7.91318, -17.30403)	(0.06944, 0.28444, 0.95616)	
638134327010465823	4108080	LEFT	11111	0.90174	6.19907	(0.48015, 0.67060)	(31.90205, -7.92801, -17.30692)	(0.06609, 0.28781, 0.95540)	
638134327010608602	4108097	LEFT	11111	1.00000	6.19899	(0.48032, 0.67060)	(31.89581, -7.92824, -17.30692)	(0.06627, 0.28786, 0.95537)	
638134327010778308	4108114	LEFT	11111	1.00000	6.19572	(0.48073, 0.67040)	(31.89403, -7.92839, -17.30548)	(0.06435, 0.28888, 0.95518)	
638134327010938319	4108122	LEFT	11111	1.00000	6.14946	(0.48349, 0.66975)	(31.88930, -7.91071, -17.29401)	(0.05052, 0.28796, 0.95630)	
