TimeStamp	TrackerTimeStamp	EyeIndex	Validity	Openness	PupilDiameter	PosInSensor	GazeOriginInEye	GazeDirectionNormInEye	
638134327007986513	4107830	RIGHT	11111	0.00000	6.62422	(0.56194, 0.63588)	(-32.72243, -6.82152, -17.53075)	(0.02406, 0.32938, 0.94388)	
638134327009344410	4107955	RIGHT	11111	1.00000	6.44188	(0.55474, 0.65155)	(-32.52702, -7.15257, -17.43015)	(0.02847, 0.29103, 0.95628)	
638134327009394406	4107972	RIGHT	11111	1.00000	6.41859	(0.55474, 0.65159)	(-32.51385, -7.14679, -17.42882)	(0.02608, 0.28949, 0.95682)	
638134327009454398	4107972	RIGHT	11111	1.00000	6.41859	(0.55474, 0.65159)	(-32.51385, -7.14679, -17.42882)	(0.02608, 0.28949, 0.95682)	
638134327009514389	4107972	RIGHT	11111	1.00000	6.41859	(0.55474, 0.65159)	(-32.51385, -7.14679, -17.42882)	(0.02608, 0.28949, 0.95682)	
638134327009564398	4107989	RIGHT	11111	1.00000	6.42180	(0.55464, 0.65159)	(-32.50713, -7.14354, -17.42137)	(0.02548, 0.28860, 0.95709)	
638134327009624381	4107989	RIGHT	11111	1.00000	6.42180	(0.55464, 0.65159)	(-32.50713, -7.14354, -17.42137)	(0.02548, 0.28860, 0.95709)	
638134327009674392	4107989	RIGHT	11111	1.00000	6.42180	(0.55464, 0.65159)	(-32.50713, -7.14354, -17.42137)	(0.02548, 0.28860, 0.95709)	
638134327009724393	4108005	RIGHT	11111	1.00000	6.40013	(0.55375, 0.65317)	(-32.38338, -7.16692, -17.41125)	(0.00908, 0.28339, 0.95895)	
638134327009784396	4108005	RIGHT	11111	1.00000	6.40013	(0.55375, 0.65317)	(-32.38338, -7.16692, -17.41125)	(0.00908, 0.28339, 0.95895)	
638134327009834425	4108005	RIGHT	11111	1.00000	6.40013	(0.55375, 0.65317)	(-32.38338, -7.16692, -17.41125)	(0.00908, 0.28339, 0.95895)	
638134327009894390	4108030	RIGHT	11111	1.00000	6.26987	(0.55143, 0.65700)	(-32.35542, -7.19798, -17.37570)	(0.01598, 0.26372, 0.96446)	
638134327009956153	4108030	RIGHT	11111	1.00000	6.26987	(0.55143, 0.65700)	(-32.35542, -7.19798, -17.37570)	(0.01598, 0.26372, 0.96446)	
638134327010015828	4108039	RIGHT	11111	1.00000	6.26856	(0.55080, 0.65523)	(-32.32915, -7.20792, -17.39525)	(0.01521, 0.27647, 0.96089)	
638134327010065834	4108039	RIGHT	11111	1.00000	6.26856	(0.55080, 0.65523)	(-32.32915, -7.20792, -17.39525)	(0.01521, 0.27647, 0.96089)	
638134327010165830	4108047	RIGHT	11111	1.00000	6.30791	(0.54882, 0.65676)	(-32.30038, -7.23613, -17.38820)	(0.02132, 0.27258, 0.96188)	
638134327010315829	4108064	RIGHT	11111	0.99279	6.39899	(0.55059, 0.65944)	(-32.32027, -7.31287, -17.39449)	(0.01556, 0.27234, 0.96207)	
638134327010465823	4108080	RIGHT	11111	0.98609	6.39505	(0.54715, 0.66115)	(-32.33839, -7.37149, -17.38725)	(0.03749, 0.27191, 0.96158)	
638134327010608602	4108097	RIGHT	11111	1.00000	6.52011	(0.54547, 0.66152)	(-32.33102, -7.38971, -17.39223)	(0.04625, 0.27448, 0.96046)	
638134327010778308	4108114	RIGHT	11111	1.00000	6.49583	(0.54541, 0.66171)	(-32.32552, -7.38944, -17.39154)	(0.04550, 0.27309, 0.96091)	
